font,type
SyrCOMMalankara,otf
FiraSans-Four,otf
Inconsolata,otf
Mishafi,ttf
STIXSizOneSymReg,otf
Luminari,ttf
DejaVuLGCSansMono-BoldOblique,ttf
SFCompactRounded-Bold,otf
Hermit-light,otf
STIXNonUni,otf
SFCompactRounded-Thin,otf
MinionPro-Semibold,otf
SFCompactText-Bold,otf
PTAstraSerif-Regular,ttf
SFCompactText-LightItalic,otf
Arial,ttf
SyrCOMMardin,otf
SFCompactDisplay-Semibold,otf
Georgia Bold Italic,ttf
Verdana Bold Italic,ttf
Wingdings,ttf
Trebuchet MS Bold,ttf
STIXSizOneSymBol,otf
Fontfabric - MullerLight,otf
Fontfabric - MullerHairlineItalic,otf
SyrCOMQenNeshrin,otf
STIXSizFourSymBol,otf
SyrCOMJerusalemOutline,otf
SFCompactRounded-Medium,otf
Comic Sans MS,ttf
DIN Alternate Bold,ttf
Noir_regular,otf
Fontfabric - MullerBlackItalic,otf
Verdana Italic,ttf
SyrCOMNisibin,otf
luxirb,ttf
SFCompactText-Regular,otf
DejaVuLGCSansCondensed,ttf
SourceSansPro-Semibold,otf
FiraSans-Eight,otf
SFNSDisplayCondensed-Semibold,otf
Fontfabric - MullerMediumItalic,otf
DejaVuLGCSans-ExtraLight,ttf
Apple Chancery,ttf
SFCompactDisplay-Light,otf
STIXVarBol,otf
 ALSSchlangesans-Black,otf
DejaVuLGCSansMono-Bold,ttf
STIXIntSmBol,otf
SFCompactRounded-Black,otf
Apple Braille,ttf
SFNSDisplayCondensed-Thin,otf
SFNSDisplayCondensed-Bold,otf
SFNSDisplay,ttf
SyrCOMJerusalemItalic,otf
Fontfabric - MullerBlack,otf
VeraIt,ttf
STIXGeneralBol,otf
PTAstraSans-BoldItalic,ttf
STIXIntDReg,otf
ZapfDingbats,ttf
PTAstraSans-Regular,ttf
Fontfabric - MullerHeavy,otf
VeraSe,ttf
Khmer Sangam MN,ttf
SFCompactRounded-Semibold,otf
MinionPro-BoldCn,otf
Ayuthaya,ttf
FiraSans-FourItalic,otf
luximri,ttf
luxisr,ttf
Mishafi Gold,ttf
FiraSans-ExtraLight,otf
SourceSansPro-Regular,otf
luximr,ttf
DIN Condensed Bold,ttf
Times New Roman,ttf
FiraSans-SemiBold,otf
SFNSTextItalic,ttf
STIXSizThreeSymReg,otf
FiraSans-Italic,otf
PermianSerifTypeface-Bold,otf
Sathu,ttf
PTAstraSans-Italic,ttf
Fontfabric - MullerUltraLight,otf
MinionPro-BoldIt,otf
MinionPro-MediumIt,otf
SFCompactText-HeavyItalic,otf
Fontfabric - MullerBold,otf
VeraBI,ttf
Fontfabric - MullerMedium,otf
SyrCOMMardinBold,otf
SourceSansPro-Bold,otf
Herculanum,ttf
Diwan Thuluth,ttf
 ALSSchlangesans-Bold,otf
Keyboard,ttf
SyrCOMNisibinOutline,otf
Wingdings 3,ttf
Kokonor,ttf
Chalkduster,ttf
FiraSans-Ultra,otf
FiraSans-ExtraBoldItalic,otf
Arial Unicode,ttf
Fontfabric - MullerThin,otf
SFNSDisplayCondensed-Ultralight,otf
STIXSizFiveSymReg,otf
luxisb,ttf
 ALSSchlangesans,otf
ArnoPro-SmbdCaption,otf
Bodoni 72 Smallcaps Book,ttf
SFCompactDisplay-Black,otf
Kubika Rough,otf
Hermit-medium,otf
SyrCOMUrhoyBold,otf
DejaVuLGCSans-Bold,ttf
Mt Extra Tiger,ttf
AppleMyungjo,ttf
VeraMono,ttf
Trebuchet MS Italic,ttf
Bradley Hand Bold,ttf
28 Days Later,ttf
luximbi,ttf
SFCompactText-BoldItalic,otf
DejaVuLGCSerifCondensed-BoldItalic,ttf
Courier New,ttf
 ALSSchlangesans-Thin,otf
SyrCOMKharput,otf
SFCompactDisplay-Bold,otf
Fontfabric - MullerThinItalic,otf
STIXSizFourSymReg,otf
STIXIntUpDReg,otf
SFNSTextCondensed-Semibold,otf
SFCompactText-MediumItalic,otf
MinionPro-Bold,otf
Verdana Bold,ttf
Zapfino,ttf
Arial Bold,ttf
STIXIntUpReg,otf
Trebuchet MS,ttf
BebasKai-Regular,otf
PTAstraSerif-BoldItalic,ttf
Arial Black,ttf
Tiger Expert,ttf
Skia,ttf
luxisbi,ttf
DejaVuLGCSans-Oblique,ttf
Krungthep,ttf
luximb,ttf
FiraSans-LightItalic,otf
PermianSlabSerifTypeface,otf
Times New Roman Italic,ttf
STIXIntSmReg,otf
Gurmukhi,ttf
SyrCOMJerusalem,otf
NISC18030,ttf
FiraSans-HeavyItalic,otf
Apple Braille Pinpoint 6 Dot,ttf
Bodoni Ornaments,ttf
PermianSerifTypeface-Italic,otf
STIXGeneralBolIta,otf
STIXNonUniBolIta,otf
SFCompactText-Light,otf
SFCompactDisplay-Thin,otf
SFNSDisplayCondensed-Black,otf
PermianSlabSerifTypeface-Italic,otf
DejaVuLGCSansMono-Oblique,ttf
PTAstraSerif-Bold,ttf
FiraSans-UltraLight,otf
Fontfabric - MullerRegular,otf
Fontfabric - MullerRegularItalic,otf
STIXGeneral,otf
BigCaslon,ttf
STIXIntDBol,otf
Cyr,ttf
SFCompactDisplay-Regular,otf
Courier New Bold,ttf
GohaTibebZemen,ttf
MinionPro-It,otf
PermianSlabSerifTypeface-Bold,otf
7983,ttf
Lao Sangam MN,ttf
STIXSizTwoSymBol,otf
Arkhive,ttf
SyrCOMAntioch,otf
Black&White,ttf
STIXVar,otf
SFCompactText-Heavy,otf
luxirr,ttf
Hoefler Text Ornaments,ttf
Tahoma Bold,ttf
PTAstraSerif-Italic,ttf
STIXIntUpSmReg,otf
Apple Braille Outline 6 Dot,ttf
DejaVuLGCSansMono,ttf
SFCompactDisplay-Ultralight,otf
SyrCOMEdessa,otf
SyrCOMAdiabene,otf
Arial Italic,ttf
VeraMoIt,ttf
InaiMathi,ttf
PermianSansTypeface-Bold,otf
Georgia Italic,ttf
PermianSansTypeface,otf
bettynoir,ttf
DejaVuLGCSansCondensed-Bold,ttf
luxirri,ttf
Fontfabric - MullerUltraLightItalic,otf
Comic Sans MS Bold,ttf
Italiano,ttf
FiraSans-ExtraBold,otf
SFCompactText-SemiboldItalic,otf
Georgia,ttf
SFCompactRounded-Regular,otf
SFNSDisplayCondensed-Light,otf
SyrCOMTalada,otf
Farisi,ttf
MinionPro-SemiboldIt,otf
Fontfabric - MullerLightItalic,otf
Symbol Tiger Expert,ttf
FiraSans-Regular,otf
FiraSans-Book,otf
hermes_normal,ttf
FiraSans-Thin,otf
VeraBd,ttf
Fontfabric - MullerHairline,otf
PermianSerifTypeface,otf
Fontfabric - MullerBoldItalic,otf
FiraSans-ExtraLightItalic,otf
luxisri,ttf
SFNSTextCondensed-Heavy,otf
Andale Mono,ttf
Fontfabric - MullerHeavyItalic,otf
SFCompactDisplay-Medium,otf
PTAstraSans-Bold,ttf
Arial Narrow Bold Italic,ttf
FiraSans-ThinItalic,otf
SFCompactRounded-Ultralight,otf
STIXGeneralItalic,otf
Tahoma,ttf
STIXNonUniBol,otf
Trattatello,ttf
Microsoft Sans Serif,ttf
FiraSans-UltraLightItalic,otf
STIXIntUpSmBol,otf
Trebuchet MS Bold Italic,ttf
FiraSans-Heavy,otf
Arial Bold Italic,ttf
Webdings,ttf
Impact,ttf
SFNSTextCondensed-Bold,otf
SFCompactText-Medium,otf
FiraSans-Bold,otf
Apple Braille Outline 8 Dot,ttf
SyrCOMBatnanBold,otf
FiraSans-BoldItalic,otf
SyrCOMCtesiphon,otf
Courier New Italic,ttf
SFNSDisplayCondensed-Regular,otf
luxirbi,ttf
SFCompactDisplay-Heavy,otf
